UBIGEO,DISTRITO,PROVINCIA,DEPARTAMENTO,LATITUD,LONGITUD
020112,TARICA,HUARAZ,ANCASH,-9.413878358,-77.54621721
120409,HUARIPAMPA,JAUJA,JUNÍN,-11.81243658,-75.48084831
180101,MOQUEGUA,MARISCAL NIETO,MOQUEGUA,-17.19456574,-70.94916954
081105,HUANCARANI,PAUCARTAMBO,CUSCO,-13.52112122,-71.62625122
100111,PILLCO MARCA,HUÁNUCO,HUÁNUCO,-10.00025201,-76.24424744
060110,MATARA,CAJAMARCA,CAJAMARCA,-7.256509781,-78.26371765
150717,SAN BARTOLOME,HUAROCHIRI,LIMA,-11.91043917,-76.4913737
100504,JACAS GRANDE,HUAMALIES,HUÁNUCO,-9.531176629,-76.75113413
080806,PICHIGUA,ESPINAR,CUSCO,-14.71812725,-71.38820648
100313,PACHAS,DOS DE MAYO,HUÁNUCO,-9.675973988,-76.76694031
180104,SAMEGUA,MARISCAL NIETO,MOQUEGUA,-17.17916979,-70.90046637
190303,HUANCABAMBA,OXAPAMPA,PASCO,-10.46289325,-75.51142693
050103,ACOS VINCHOS,HUAMANGA,AYACUCHO,-13.13388242,-74.07804023
030204,HUANCARAMA,ANDAHUAYLAS,APURÍMAC,-13.66352978,-73.0339325
060506,SANTA CRUZ DE TOLED,CONTUMAZA,CAJAMARCA,-7.322381079,-78.8550458
120809,SUITUCANCHA,YAULI,JUNÍN,-11.78777122,-75.93589783
010607,MARISCAL BENAVIDES,RODRIGUEZ DE MENDOZA,AMAZONAS,-6.362335682,-77.50843981
210209,POTONI,AZANGARO,PUNO,-14.37505845,-70.09648841
040208,SAMUEL PASTOR,CAMANA,AREQUIPA,-16.62475634,-72.68864975
040517,TISCO,CAYLLOMA,AREQUIPA,-15.28072071,-71.4173317
220101,MOYOBAMBA,MOYOBAMBA,SAN MARTÍN,-5.960311508,-77.03167858
090411,SANTA ANA,CASTROVIRREYNA,HUANCAVELICA,-13.17231257,-75.14306607
200209,SICCHEZ,AYABACA,PIURA,-4.562818289,-79.77489471
110304,MARCONA,NAZCA,ICA,-15.36547852,-75.17935435
220503,BARRANQUITA,LAMAS,SAN MARTÍN,-6.236602545,-76.01387024
090614,SANTIAGO DE QUIRAHUARA,HUAYTARA,HUANCAVELICA,-14.05500711,-74.99797567
220910,MORALES,SAN MARTÍN,SAN MARTÍN,-6.485166965,-76.39721803
220708,SHAMBOYACU,PICOTA,SAN MARTÍN,-7.021107197,-76.13605754
200703,LA BREA,TALARA,PIURA,-4.63937254,-81.19847565
022006,RANRAHIRCA,YUNGAY,ANCASH,-9.168205857,-77.70092773
010502,CAMPORREDONDO,LUYA,AMAZONAS,-6.192005634,-78.33548737
090613,SANTIAGO DE CHOCORVOS,HUAYTARA,HUANCAVELICA,-13.75943232,-75.15831757
150143,VILLA MARIA DEL TRIUNFO,LIMA,LIMA,-12.15740013,-76.95303345
130106,LAREDO,TRUJILLO,LA LIBERTAD,-8.080298269,-78.90446204
020302,ACZO,ANTONIO RAYMONDI,ANCASH,-9.152671814,-76.99030304
050611,LUCANAS,LUCANAS,AYACUCHO,-14.58239555,-74.25015259
030403,CARAYBAMBA,AYMARAES,APURÍMAC,-14.38488007,-73.16952515
210504,SANTA ROSA,EL COLLAO,PUNO,-16.66459601,-69.74670519
100701,HUACRACHUCO,MARAÑON,HUÁNUCO,-8.623270607,-77.19978638
021105,MALVAS,HUARMEY,ANCASH,-9.906314532,-77.64892705
151011,COLONIA,YAUYOS,LIMA,-12.63354588,-75.89025116
151020,MADEAN,YAUYOS,LIMA,-12.9448328,-75.77683258
160301,NAUTA,LORETO,LORETO,-4.464390755,-73.7190645
210106,CHUCUITO,PUNO,PUNO,-15.8846308,-69.87749386
021005,HUACACHI,HUARI,ANCASH,-9.313344955,-76.93125725
090310,SAN ANTONIO DE ANTAPARCO,ANGARAES,HUANCAVELICA,-13.06339884,-74.41276169
090505,LA MERCED,CHURCAMPA,HUANCAVELICA,-12.79004955,-74.36340332
021509,PAMPAS,PALLASCA,ANCASH,-8.181281805,-77.81893539
040207,QUILCA,CAMANA,AREQUIPA,-16.7148428,-72.43071365
211201,SANDIA,SANDIA,PUNO,-14.33376026,-69.46875509
130503,CARABAMBA,JULCAN,LA LIBERTAD,-8.127475262,-78.61080933
020702,SAN NICOLAS,CARLOS FERMIN FITZCARRALD,ANCASH,-9.001704216,-77.1786499
030105,HUANIPACA,ABANCAY,APURÍMAC,-13.49180794,-72.93356323
100323,YANAS,DOS DE MAYO,HUÁNUCO,-9.723073849,-76.74131775
180201,OMATE,GENERAL SANCHEZ CERRO,MOQUEGUA,-16.66804123,-70.97256978
200110,LA UNION,PIURA,PIURA,-5.383749932,-80.73223114
010518,SAN JERONIMO,LUYA,AMAZONAS,-6.028676646,-77.97217233
120129,SAN AGUSTIN,HUANCAYO,JUNÍN,-11.99768416,-75.23805322
150134,SAN LUIS,LIMA,LIMA,-12.07294941,-76.99755096
021012,RAHUAPAMPA,HUARI,ANCASH,-9.360862732,-77.08012644
010117,QUINJALCA,CHACHAPOYAS,AMAZONAS,-6.061911265,-77.69143677
010118,SAN FRANCISCO DE DAGUAS,CHACHAPOYAS,AMAZONAS,-6.226032019,-77.72083664
020301,LLAMELLIN,ANTONIO RAYMONDI,ANCASH,-9.105772734,-77.01429335
210213,SAN JUAN DE SALINAS,AZANGARO,PUNO,-14.96972736,-70.14178594
060904,LA COIPA,SAN IGNACIO,CAJAMARCA,-5.387204846,-78.94385529
220603,HUICUNGO,MARISCAL CACERES,SAN MARTÍN,-7.32923015,-76.89369965
050404,IGUAIN,HUANTA,AYACUCHO,-12.97400204,-74.21815491
150139,SANTA ROSA,LIMA,LIMA,-11.79846954,-77.17755127
150710,LAHUAYTAMBO,HUAROCHIRI,LIMA,-12.09698009,-76.39115906
180206,LLOQUE,GENERAL SANCHEZ CERRO,MOQUEGUA,-16.31268024,-70.74071503
140110,OYOTUN,CHICLAYO,LAMBAYEQUE,-6.823372555,-79.30154915
220304,SANTA ROSA,EL DORADO,SAN MARTÍN,-6.721319982,-76.6002388
220706,SAN CRISTOBAL,PICOTA,SAN MARTÍN,-6.983444971,-76.41895833
230407,TARUCACHI,TARATA,TACNA,-17.51237679,-70.02417501
160402,PEBAS,MARISCAL RAMON CASTILLA,LORETO,-3.53894105,-71.79900665
160506,PUINAHUA,REQUENA,LORETO,-5.301996708,-74.33909988
080605,PITUMARCA,CANCHIS,CUSCO,-13.97883224,-71.41590118
010514,PISUQUIA,LUYA,AMAZONAS,-6.479038239,-78.10587692
170104,LABERINTO,TAMBOPATA,MADRE DE DIOS,-12.71712017,-69.58679962
090405,CHUPAMARCA,CASTROVIRREYNA,HUANCAVELICA,-13.02311285,-75.59092776
101107,PAMPAMARCA,YAROWILCA,HUÁNUCO,-9.728469276,-76.69852066
080803,COPORAQUE,ESPINAR,CUSCO,-14.81789715,-71.51324948
030102,CHACOCHE,ABANCAY,APURÍMAC,-13.92113082,-73.00223541
030408,JUSTO APU SAHUARAURA,AYMARAES,APURÍMAC,-14.14071827,-73.18131104
160210,SANTA CRUZ,ALTO AMAZONAS,LORETO,-5.524666627,-75.90259806
050805,MARCABAMBA,PAUCAR DEL SARA SARA,AYACUCHO,-15.14927387,-73.34384155
021209,SANTO TORIBIO,HUAYLAS,ANCASH,-8.864468575,-77.91507721
010501,LAMUD,LUYA,AMAZONAS,-6.123722374,-77.95275688
230101,TACNA,TACNA,TACNA,-18.23467919,-70.39252945
010706,LONYA GRANDE,UTCUBAMBA,AMAZONAS,-6.073225419,-78.41984177
120606,PANGOA,SATIPO,JUNÍN,-11.4556966,-74.47009804
060603,CHOROS,CUTERVO,CAJAMARCA,-5.944774628,-78.75816345
030703,GAMARRA,GRAU,APURÍMAC,-13.81571636,-72.52294769
220305,SHATOJA,EL DORADO,SAN MARTÍN,-6.537672997,-76.72547531
120906,SAN JUAN DE ISCOS,CHUPACA,JUNÍN,-12.11932055,-75.30034637
150110,COMAS,LIMA,LIMA,-11.95018864,-77.05016327
060809,SALLIQUE,JAEN,CAJAMARCA,-5.657007694,-79.31591034
050901,QUEROBAMBA,SUCRE,AYACUCHO,-13.99998866,-73.82803514
210111,PICHACANI,PUNO,PUNO,-16.13336306,-70.04510307
190305,POZUZO,OXAPAMPA,PASCO,-10.07902845,-75.63167063
200706,MANCORA,TALARA,PIURA,-4.110557556,-81.06376266
021510,SANTA ROSA,PALLASCA,ANCASH,-8.523942947,-78.06516266
150305,MANAS,CAJATAMBO,LIMA,-10.59903749,-77.28133901
130613,SINSICAP,OTUZCO,LA LIBERTAD,-7.779390049,-78.75595398
130305,UCHUMARCA,BOLIVAR,LA LIBERTAD,-7.048220634,-77.80805206
150612,VEINTISIETE DE NOVIEMBRE,HUARAL,LIMA,-11.1914711,-76.77966309
081205,CCATCA,QUISPICANCHI,CUSCO,-13.62306696,-71.54364655
061101,SAN MIGUEL,SAN MIGUEL,CAJAMARCA,-7.035248756,-78.89833597
160103,FERNANDO LORES,MAYNAS,LORETO,-3.983292535,-73.1752634
211304,CUTURAPI,YUNGUYO,PUNO,-16.28293705,-69.1891861
120407,EL MANTARO,JAUJA,JUNÍN,-11.81890933,-75.38238017
090410,SAN JUAN,CASTROVIRREYNA,HUANCAVELICA,-13.20327377,-75.63407898
190302,CHONTABAMBA,OXAPAMPA,PASCO,-10.58687897,-75.41700592
140114,SANTA ROSA,CHICLAYO,LAMBAYEQUE,-6.873129725,-79.91460037
040110,MIRAFLORES,AREQUIPA,AREQUIPA,-16.39511871,-71.5213089
140111,PICSI,CHICLAYO,LAMBAYEQUE,-6.717339993,-79.78402328
190204,PAUCAR,DANIEL ALCIDES CARRION,PASCO,-10.35288715,-76.43259484
060803,CHONTALI,JAEN,CAJAMARCA,-5.658900928,-79.0846283
021013,RAPAYAN,HUARI,ANCASH,-9.205488205,-76.76138306
190308,CONSTITUCION,OXAPAMPA,PASCO,-9.926728344,-75.01120605
210707,PARATIA,LAMPA,PUNO,-15.44076443,-70.6767985
160404,SAN PABLO,MARISCAL RAMON CASTILLA,LORETO,-3.89007622,-71.34837723
150142,VILLA EL SALVADOR,LIMA,LIMA,-12.21648979,-76.94348907
080301,ANTA,ANTA,CUSCO,-13.47612755,-72.1704403
210805,MACARI,MELGAR,PUNO,-14.6846589,-70.86673737
010604,HUAMBO,RODRIGUEZ DE MENDOZA,AMAZONAS,-6.419049388,-77.52549864
130104,HUANCHACO,TRUJILLO,LA LIBERTAD,-8.076725364,-79.08429718
060407,COCHABAMBA,CHOTA,CAJAMARCA,-6.478414853,-78.87408702
151032,VIÑAC,YAUYOS,LIMA,-12.89280462,-75.85380554
150719,SAN JUAN DE IRIS,HUAROCHIRI,LIMA,-11.68321991,-76.52494812
050802,COLTA,PAUCAR DEL SARA SARA,AYACUCHO,-15.18556976,-73.2624766
220906,EL PORVENIR,SAN MARTÍN,SAN MARTÍN,-6.219331503,-75.80678177
200801,SECHURA,SECHURA,PIURA,-5.611198936,-80.85343061
200605,MARCAVELICA,SULLANA,PIURA,-4.850599016,-80.73952539
110101,ICA,ICA,ICA,-14.10589671,-75.74379921
120114,EL TAMBO,HUANCAYO,JUNÍN,-12.01924295,-75.20940223
210902,CONIMA,MOHO,PUNO,-15.47661692,-69.4276062
220905,CHIPURANA,SAN MARTÍN,SAN MARTÍN,-6.373440425,-75.77700551
160106,MAZAN,MAYNAS,LORETO,-3.489569473,-73.09509277
030705,MAMARA,GRAU,APURÍMAC,-14.22906208,-72.59040833
150130,SAN BORJA,LIMA,LIMA,-12.10793877,-76.99906921
120302,PERENE,CHANCHAMAYO,JUNÍN,-10.89609954,-75.00633036
220908,JUAN GUERRA,SAN MARTÍN,SAN MARTÍN,-6.595654964,-76.33151388
010702,CAJARURO,UTCUBAMBA,AMAZONAS,-5.724098333,-78.31734695
051008,HUAMANQUIQUIA,VICTOR FAJARDO,AYACUCHO,-13.73124599,-74.27411225
210705,OCUVIRI,LAMPA,PUNO,-15.15510054,-70.91284485
151016,HUANTAN,YAUYOS,LIMA,-12.48457432,-75.73503494
010520,SANTA CATALINA,LUYA,AMAZONAS,-6.056194186,-78.09345436
050607,HUAC-HUAS,LUCANAS,AYACUCHO,-14.13171864,-74.9418869
050204,MARIA PARADO DE BELLIDO,CANGALLO,AYACUCHO,-13.60381869,-74.23965735
060306,JOSE GALVEZ,CELENDIN,CAJAMARCA,-6.916302374,-78.14696067
250201,RAYMONDI,ATALAYA,UCAYALI,-10.69472904,-73.8227829
030215,SANTA MARIA DE CHICMO,ANDAHUAYLAS,APURÍMAC,-13.67223561,-73.53342438
010309,SAN CARLOS,BONGARA,AMAZONAS,-5.967761126,-77.94771923
080807,SUYCKUTAMBO,ESPINAR,CUSCO,-14.9640584,-71.61052704
120112,COLCA,HUANCAYO,JUNÍN,-12.31615067,-75.19364548
030416,TORAYA,AYMARAES,APURÍMAC,-14.02946472,-73.29668427
101108,CHORAS,YAROWILCA,HUÁNUCO,-9.900058833,-76.58368024
150105,BREÑA,LIMA,LIMA,-12.05690956,-77.05365753
120116,HUACRAPUQUIO,HUANCAYO,JUNÍN,-12.17420564,-75.22354998
050110,SAN JUAN BAUTISTA,HUAMANGA,AYACUCHO,-13.18924635,-74.20647292
210302,AJOYANI,CARABAYA,PUNO,-14.24868695,-70.24146144
010301,JUMBILLA,BONGARA,AMAZONAS,-5.901760817,-77.79880142
120408,HUAMALI,JAUJA,JUNÍN,-11.79693635,-75.40968577
070102,BELLAVISTA,CALLAO,CALLAO,-12.06246185,-77.12863159
150106,CARABAYLLO,LIMA,LIMA,-11.84704348,-77.04253696
020604,ANTA,CARHUAZ,ANCASH,-9.35170428,-77.60269292
020201,AIJA,AIJA,ANCASH,-9.770252148,-77.61550331
060501,CONTUMAZA,CONTUMAZA,CAJAMARCA,-7.342842785,-78.7639344
060812,SANTA ROSA,JAEN,CAJAMARCA,-5.425459146,-78.56169605
040122,SOCABAYA,AREQUIPA,AREQUIPA,-16.47224753,-71.53188978
050615,SAN CRISTOBAL,LUCANAS,AYACUCHO,-14.74310684,-74.22245026
101004,QUEROPALCA,LAURICOCHA,HUÁNUCO,-10.18190861,-76.80332184
210604,INCHUPALLA,HUANCANE,PUNO,-15.00969601,-69.68196869
210601,HUANCANE,HUANCANE,PUNO,-15.20270678,-69.79925863
180105,SAN CRISTOBAL,MARISCAL NIETO,MOQUEGUA,-16.71039085,-70.72131348
090607,PILPICHACA,HUAYTARA,HUANCAVELICA,-13.27246054,-74.98592504
061004,GREGORIO PITA,SAN MARCOS,CAJAMARCA,-7.258411646,-78.18410238
150510,NUEVO IMPERIAL,CAÑETE,LIMA,-13.07042998,-76.32339269
040204,MARISCAL CACERES,CAMANA,AREQUIPA,-16.61841965,-72.73635864
040503,CABANACONDE,CAYLLOMA,AREQUIPA,-15.61856794,-71.909832
051105,HUAMBALPA,VILCAS HUAMAN,AYACUCHO,-13.740727,-73.92309231
090401,CASTROVIRREYNA,CASTROVIRREYNA,HUANCAVELICA,-13.28713382,-75.30678697
010107,GRANADA,CHACHAPOYAS,AMAZONAS,-6.099956512,-77.63445282
061310,UTICYACU,SANTA CRUZ,CAJAMARCA,-6.612492847,-78.78315582
090616,TAMBO,HUAYTARA,HUANCAVELICA,-13.68968391,-75.27600098
020904,CUSCA,CORONGO,ANCASH,-8.546193918,-77.82188924
010507,LONGUITA,LUYA,AMAZONAS,-6.413790226,-77.96838379
060201,CAJABAMBA,CAJABAMBA,CAJAMARCA,-7.624235462,-78.04693985
021909,SAN JUAN,SIHUAS,ANCASH,-8.648704317,-77.60965729
080103,POROY,CUSCO,CUSCO,-13.4901573,-72.0354888
010113,MARISCAL CASTILLA,CHACHAPOYAS,AMAZONAS,-6.583793116,-77.80488281
110303,EL INGENIO,NAZCA,ICA,-14.64487457,-75.06383896
180102,CARUMAS,MARISCAL NIETO,MOQUEGUA,-16.81294837,-70.68928058
190106,PALLANCHACRA,PASCO,PASCO,-10.42363249,-76.24211557
090408,HUAMATAMBO,CASTROVIRREYNA,HUANCAVELICA,-13.09552002,-75.6772995
020105,INDEPENDENCIA,HUARAZ,ANCASH,-9.492719319,-77.53022808
190202,CHACAYAN,DANIEL ALCIDES CARRION,PASCO,-10.41390243,-76.41362
131102,LUCMA,GRAN CHIMU,LA LIBERTAD,-7.604979706,-78.5350296
210212,SAN JOSE,AZANGARO,PUNO,-14.73050206,-70.20297124
130203,CHOCOPE,ASCOPE,LA LIBERTAD,-7.789665188,-79.23416247
230204,CURIBAYA,CANDARAVE,TACNA,-17.38119888,-70.33441162
150131,SAN ISIDRO,LIMA,LIMA,-12.0991087,-77.03462982
120107,CHILCA,HUANCAYO,JUNÍN,-12.08986831,-75.2029047
130704,PACASMAYO,PACASMAYO,LA LIBERTAD,-7.39518714,-79.5513916
210405,PISACOMA,CHUCUITO,PUNO,-16.85736311,-69.36898477
090107,HUAYLLAHUARA,HUANCAVELICA,HUANCAVELICA,-12.40645742,-75.18035889
050705,PULLO,PARINACOCHAS,AYACUCHO,-15.30154737,-73.89770253
150804,CHECRAS,HUAURA,LIMA,-10.91668367,-76.83831406
150704,CARAMPOMA,HUAROCHIRI,LIMA,-11.65597725,-76.51644135
040302,ACARI,CARAVELI,AREQUIPA,-15.42192602,-74.61511612
150606,IHUARI,HUARAL,LIMA,-11.18874836,-76.95127869
060806,LAS PIRIAS,JAEN,CAJAMARCA,-5.628053439,-78.85909111
010203,COPALLIN,BAGUA,AMAZONAS,-5.643979345,-78.39401427
140202,CAÑARIS,FERREÑAFE,LAMBAYEQUE,-6.046755075,-79.27645874
090604,HUAYACUNDO ARMA,HUAYTARA,HUANCAVELICA,-13.53413773,-75.31452179
220702,BUENOS AIRES,PICOTA,SAN MARTÍN,-6.772755146,-76.43304062
130304,LONGOTEA,BOLIVAR,LA LIBERTAD,-7.023780346,-77.89860535
040109,MARIANO MELGAR,AREQUIPA,AREQUIPA,-16.40610886,-71.5117569
030109,TAMBURCO,ABANCAY,APURÍMAC,-13.59907106,-72.87493161
021910,SICSIBAMBA,SIHUAS,ANCASH,-8.62789895,-77.54112772
140106,LA VICTORIA,CHICLAYO,LAMBAYEQUE,-6.830281356,-79.87004616
040506,COPORAQUE,CAYLLOMA,AREQUIPA,-15.62797952,-71.62686348
080505,LAYO,CANAS,CUSCO,-14.49420929,-71.1556015
120402,ACOLLA,JAUJA,JUNÍN,-11.626616,-75.57461548
040604,CHICHAS,CONDESUYOS,AREQUIPA,-15.54734135,-72.91885376
040810,TOMEPAMPA,LA UNION,AREQUIPA,-15.1728878,-72.83071899
130611,SALPO,OTUZCO,LA LIBERTAD,-8.010992344,-78.60854868
140308,OLMOS,LAMBAYEQUE,LAMBAYEQUE,-5.931102991,-79.79004828
040124,UCHUMAYO,AREQUIPA,AREQUIPA,-16.42027864,-71.64315069
120603,LLAYLLA,SATIPO,JUNÍN,-11.37902999,-74.57565498
080407,TARAY,CALCA,CUSCO,-13.4591696,-71.8792199
080508,TUPAC AMARU,CANAS,CUSCO,-14.1621824,-71.48352051
050107,PACAYCASA,HUAMANGA,AYACUCHO,-13.06833839,-74.22836304
080202,ACOPIA,ACOMAYO,CUSCO,-14.06634744,-71.48421478
240203,CANOAS DE PUNTA SAL,CONTRALMIRANTE VILLAR,TUMBES,-3.978836584,-80.93542328
060503,CUPISNIQUE,CONTUMAZA,CAJAMARCA,-7.34938097,-79.02980804
060907,TABACONAS,SAN IGNACIO,CAJAMARCA,-5.337106835,-79.21056505
081302,CHINCHERO,URUBAMBA,CUSCO,-13.41709861,-72.06551777
090718,TINTAY PUNCU,TAYACAJA,HUANCAVELICA,-12.2154439,-74.53247681
020606,MARCARA,CARHUAZ,ANCASH,-9.318435402,-77.59805969
021402,ACAS,OCROS,ANCASH,-10.5324893,-77.37498856
120128,QUILCAS,HUANCAYO,JUNÍN,-11.92622542,-75.24405607
210702,CABANILLA,LAMPA,PUNO,-15.60091738,-70.35028804
020603,AMASHCA,CARHUAZ,ANCASH,-9.217150052,-77.64692434
021303,ELEAZAR GUZMAN BARRON,MARISCAL LUZURIAGA,ANCASH,-8.890799999,-77.22395706
131103,MARMOT,GRAN CHIMU,LA LIBERTAD,-7.731585821,-78.64292653
220102,CALZADA,MOYOBAMBA,SAN MARTÍN,-6.038491964,-77.11413193
021404,CARHUAPAMPA,OCROS,ANCASH,-10.49399328,-77.25038528
200408,SANTA CATALINA DE MOSSA,MORROPON,PIURA,-5.154916954,-79.88969421
080708,VELILLE,CHUMBIVILCAS,CUSCO,-14.47902673,-71.80575955
230110,CORONEL GREGORIO ALBARRACIN LANCHIPA,TACNA,TACNA,-18.07958204,-70.2488001
250102,CAMPOVERDE,CORONEL PORTILLO,UCAYALI,-8.516565323,-74.84075117
230105,INCLAN,TACNA,TACNA,-17.80534816,-70.50457478
040404,CHACHAS,CASTILLA,AREQUIPA,-15.32231569,-72.1688118
080701,SANTO TOMAS,CHUMBIVILCAS,CUSCO,-14.53884392,-72.08245392
131101,CASCAS,GRAN CHIMU,LA LIBERTAD,-7.503988873,-78.80055722
060607,QUEROCOTILLO,CUTERVO,CAJAMARCA,-6.225236079,-79.02960968
150101,CERCADO DE LIMA,LIMA,LIMA,-12.04667854,-77.03230286
151009,CHOCOS,YAUYOS,LIMA,-12.93444967,-75.89956284
110209,SAN PEDRO DE HUACARPANA,CHINCHA,ICA,-13.06870794,-75.697052
100905,YUYAPICHIS,PUERTO INCA,HUÁNUCO,-9.627887726,-74.97458649
020110,PARIACOTO,HUARAZ,ANCASH,-9.541755243,-77.85441728
150204,SUPE,BARRANCA,LIMA,-10.81621557,-77.67190956
250105,YARINACOCHA,CORONEL PORTILLO,UCAYALI,-8.355449028,-74.61772186
220801,RIOJA,RIOJA,SAN MARTÍN,-6.055921025,-77.19164022
120411,JANJAILLO,JAUJA,JUNÍN,-11.77097034,-75.64100647
050603,CABANA,LUCANAS,AYACUCHO,-14.29239464,-73.96011098
021505,HUANDOVAL,PALLASCA,ANCASH,-8.327439308,-77.97293091
110103,LOS AQUIJES,ICA,ICA,-14.08905567,-75.69801739
110507,SAN CLEMENTE,PISCO,ICA,-13.66479227,-76.13202177
150507,IMPERIAL,CAÑETE,LIMA,-13.03968377,-76.35999086
020609,SHILLA,CARHUAZ,ANCASH,-9.223671595,-77.6215566
040703,DEAN VALDIVIA,ISLAY,AREQUIPA,-17.12682279,-71.83912404
150709,HUAROCHIRI,HUAROCHIRI,LIMA,-12.13716412,-76.2324295
090205,MARCAS,ACOBAMBA,HUANCAVELICA,-12.85725117,-74.41154734
090106,HUACHOCOLPA,HUANCAVELICA,HUANCAVELICA,-13.03008216,-74.94035012
190112,VICCO,PASCO,PASCO,-10.84687869,-76.22142006
100202,CAYNA,AMBO,HUÁNUCO,-10.26045079,-76.38265398
022008,YANAMA,YUNGAY,ANCASH,-9.028742734,-77.43941049
150708,HUANZA,HUAROCHIRI,LIMA,-11.6557169,-76.50414276
150805,HUALMAY,HUAURA,LIMA,-11.0863327,-77.60463715
130906,SANAGORAN,SANCHEZ CARRION,LA LIBERTAD,-7.777344976,-78.16670445
150811,SAYAN,HUAURA,LIMA,-11.15135362,-77.21491734
211301,YUNGUYO,YUNGUYO,PUNO,-16.27670689,-69.08082908
060204,SITACOCHA,CAJABAMBA,CAJAMARCA,-7.499233961,-77.96191533
060613,SANTO TOMAS,CUTERVO,CAJAMARCA,-6.144136535,-78.69489712
020106,JANGAS,HUARAZ,ANCASH,-9.415102414,-77.57672446
210308,OLLACHEA,CARABAYA,PUNO,-13.71680164,-70.60986328
050614,SAISA,LUCANAS,AYACUCHO,-14.94029427,-74.41648865
100106,QUISQUI (KICHKI),HUÁNUCO,HUÁNUCO,-9.899964968,-76.41173681
030502,COTABAMBAS,COTABAMBAS,APURÍMAC,-13.74712181,-72.35623932
040102,ALTO SELVA ALEGRE,AREQUIPA,AREQUIPA,-16.37056923,-71.52723694
030208,PACOBAMBA,ANDAHUAYLAS,APURÍMAC,-13.57662606,-73.12911606
040805,PAMPAMARCA,LA UNION,AREQUIPA,-15.18517971,-72.90723419
060102,ASUNCION,CAJAMARCA,CAJAMARCA,-7.34019452,-78.52000028
120808,SANTA ROSA DE SACCO,YAULI,JUNÍN,-11.56733298,-75.95937538
200505,LA HUACA,PAITA,PIURA,-4.920510471,-80.91699505
130204,MAGDALENA DE CAO,ASCOPE,LA LIBERTAD,-7.869951725,-79.26758728
210802,ANTAUTA,MELGAR,PUNO,-14.39786243,-70.3196373
040114,POLOBAYA,AREQUIPA,AREQUIPA,-16.56062508,-71.37494659
090105,CUENCA,HUANCAVELICA,HUANCAVELICA,-12.46338385,-75.05030394
050114,VINCHOS,HUAMANGA,AYACUCHO,-13.29950161,-74.3962677
030203,CHIARA,ANDAHUAYLAS,APURÍMAC,-13.86496639,-73.66580963
051001,HUANCAPI,VICTOR FAJARDO,AYACUCHO,-13.76707331,-74.07238261
151010,COCHAS,YAUYOS,LIMA,-12.29534912,-76.15750885
030307,SABAINO,ANTABAMBA,APURÍMAC,-14.31278801,-72.94515228
080101,CUSCO,CUSCO,CUSCO,-13.50278459,-71.98231724
040407,HUANCARQUI,CASTILLA,AREQUIPA,-16.08804576,-72.47801717
081207,HUARO,QUISPICANCHI,CUSCO,-13.69935179,-71.6586043
130110,SIMBAL,TRUJILLO,LA LIBERTAD,-7.992492941,-78.81744809
130803,CHILLIA,PATAZ,LA LIBERTAD,-8.159393668,-77.50862694
080906,QUELLOUNO,LA CONVENCION,CUSCO,-12.53576694,-72.51448168
200702,EL ALTO,TALARA,PIURA,-4.258514881,-81.22327423
060416,SAN JUAN DE LICUPIS,CHOTA,CAJAMARCA,-6.423954487,-79.24201965
150102,ANCON,LIMA,LIMA,-11.77661896,-77.17050171
020601,CARHUAZ,CARHUAZ,ANCASH,-9.277750186,-77.62797219
200105,CATACAOS,PIURA,PIURA,-5.277629267,-80.66642414
030411,SAN JUAN DE CHACÑA,AYMARAES,APURÍMAC,-13.92979972,-73.17208608
120420,MUQUI,JAUJA,JUNÍN,-11.84087257,-75.43646393
150403,HUAMANTANGA,CANTA,LIMA,-11.49983883,-76.74900055
021501,CABANA,PALLASCA,ANCASH,-8.390468354,-78.01718424
010522,TINGO,LUYA,AMAZONAS,-6.375722885,-77.90859985
081201,URCOS,QUISPICANCHI,CUSCO,-13.68250951,-71.61019135
220303,SAN MARTÍN,EL DORADO,SAN MARTÍN,-6.469079399,-76.7817215
211208,YANAHUAYA,SANDIA,PUNO,-14.28246307,-69.18444824
